LLE_RE,0.23,0
LLE_FE,0.096,-1.92
LLE_CE,0.118,-1.6
LLE_FH,0.096,-1.92
LLE_CH,0.231,0.0
LLE_EX,0.0,-3.84
LLE_RU,0.235,0
LLH_RE,0.171,0
LLH_FE,0.081,-1.2800000000000002
LLH_CE,0.103,-0.96
LLH_FH,0.306,1.9253895168000001
LLH_CH,0.172,0.0
LLH_EX,0.02,-3.2
LLH_RU,0.174,0
LLN_RE,0.436,3.19797895168
LLN_FE,0.094,-1.667584
LLN_CE,0.077,-1.9798769664
LLN_FH,0.196,-0.24320000000000006
LLN_CH,0.101,-1.6128
LLN_EX,0.077,-2.17492209664
LLN_RU,0.037,-2.6118733824
LLT_RE,0.0,-4.0
LLT_FE,0.127,0.0
LLT_CE,0.127,0
LLT_FH,0.127,0
LLT_CH,0.149,0.31999999999999995
LLT_EX,0.038,-1.2800000000000002
LLT_RU,0.478,4.96
LHE_RE,0.142,0
LHE_FE,0.142,0
LHE_CE,0.142,0
LHE_FH,0.142,0
LHE_CH,0.142,0
LHE_EX,0.142,0
LHE_RU,0.142,0
LHH_RE,0.142,0
LHH_FE,0.142,0
LHH_CE,0.142,0
LHH_FH,0.142,0
LHH_CH,0.142,0
LHH_EX,0.142,0
LHH_RU,0.142,0
LHN_RE,0.142,0
LHN_FE,0.142,0
LHN_CE,0.142,0
LHN_FH,0.142,0
LHN_CH,0.142,0
LHN_EX,0.142,0
LHN_RU,0.142,0
LHT_RE,0.142,0
LHT_FE,0.142,0
LHT_CE,0.142,0
LHT_FH,0.142,0
LHT_CH,0.142,0
LHT_EX,0.142,0
LHT_RU,0.142,0
HLE_RE,0.142,0
HLE_FE,0.142,0
HLE_CE,0.142,0
HLE_FH,0.142,0
HLE_CH,0.142,0
HLE_EX,0.142,0
HLE_RU,0.142,0
HLH_RE,0.142,0
HLH_FE,0.142,0
HLH_CE,0.142,0
HLH_FH,0.142,0
HLH_CH,0.142,0
HLH_EX,0.142,0
HLH_RU,0.142,0
HLN_RE,0.238,-1.92
HLN_FE,0.077,-4.225280000000001
HLN_CE,0.055,-4.928
HLN_FH,0.114,-4.8
HLN_CH,0.178,-2.7920384
HLN_EX,0.133,-3.96288
HLN_RU,0.212,-2.3730524159999997
HLT_RE,0.167,0
HLT_FE,0.167,0
HLT_CE,0.167,0
HLT_FH,0.167,0
HLT_CH,0.0,-4.0
HLT_EX,0.168,0
HLT_RU,0.17,0
HHE_RE,0.142,0
HHE_FE,0.142,0
HHE_CE,0.142,0
HHE_FH,0.142,0
HHE_CH,0.142,0
HHE_EX,0.142,0
HHE_RU,0.142,0
HHH_RE,0.142,0
HHH_FE,0.142,0
HHH_CE,0.142,0
HHH_FH,0.142,0
HHH_CH,0.142,0
HHH_EX,0.142,0
HHH_RU,0.142,0
HHN_RE,0.142,0
HHN_FE,0.142,0
HHN_CE,0.142,0
HHN_FH,0.142,0
HHN_CH,0.142,0
HHN_EX,0.142,0
HHN_RU,0.142,0
HHT_RE,0.142,0
HHT_FE,0.142,0
HHT_CE,0.142,0
HHT_FH,0.142,0
HHT_CH,0.142,0
HHT_EX,0.142,0
HHT_RU,0.142,0
---,---,---
